Label (Grouping),SEX AND AGE,SEX AND AGE!!Total population,SEX AND AGE!!Total population!!Male,SEX AND AGE!!Total population!!Female,SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 5 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),RACE,RACE!!Total population,RACE!!Total population!!One race,RACE!!Total population!!Two or more races,RACE!!Total population!!One race,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races,Race alone or in combination with one or more other races!!Total population,Race alone or in combination with one or more other races!!Total population!!White,Race alone or in combination with one or more other races!!Total population!!Black or African American,Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Race alone or in combination with one or more other races!!Total population!!Asian,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,HISPANIC OR LATINO AND RACE,HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",Total housing units,"CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
ZCTA5 10451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,,"48,136","22,852","25,284",90.4,"2,894","3,868","3,194","3,725","3,394","7,542","5,742","6,819","2,841","2,005","3,090","2,102",920,34.1,"12,321","37,484","35,815","33,840","7,226","6,112","35,815","15,915","19,900",80,"6,112","2,158","3,954",54.6,,"48,136","45,635","2,501","45,635","6,746","19,123",148,0,0,0,0,656,42,173,33,43,42,47,276,0,0,0,0,0,"18,962","2,501",701,86,50,170,,"48,136","8,209","21,112",756,868,77,"20,080",,"48,136","29,215","2,526","8,912",227,"17,550","18,921","1,595","15,962",46,656,0,230,432,31,401,"20,206",,"29,015","13,033","15,982"
    Percent,,"48,136",47.50%,52.50%,(X),6.00%,8.00%,6.60%,7.70%,7.10%,15.70%,11.90%,14.20%,5.90%,4.20%,6.40%,4.40%,1.90%,(X),25.60%,77.90%,74.40%,70.30%,15.00%,12.70%,"35,815",44.40%,55.60%,(X),"6,112",35.30%,64.70%,(X),,"48,136",94.80%,5.20%,94.80%,14.00%,39.70%,0.30%,0.00%,0.00%,0.00%,0.00%,1.40%,0.10%,0.40%,0.10%,0.10%,0.10%,0.10%,0.60%,0.00%,0.00%,0.00%,0.00%,0.00%,39.40%,5.20%,1.50%,0.20%,0.10%,0.40%,,"48,136",17.10%,43.90%,1.60%,1.80%,0.20%,41.70%,,"48,136",60.70%,5.20%,18.50%,0.50%,36.50%,39.30%,3.30%,33.20%,0.10%,1.40%,0.00%,0.50%,0.90%,0.10%,0.80%,(X),,"29,015",44.90%,55.10%
ZCTA5 10452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,,"75,452","34,409","41,043",83.8,"5,196","6,086","6,567","5,848","5,494","12,679","10,180","9,212","4,480","3,170","4,150","1,663",727,31.8,"21,601","56,258","53,851","50,539","8,211","6,540","53,851","24,451","29,400",83.2,"6,540","2,387","4,153",57.5,,"75,452","72,506","2,946","72,506","10,445","24,612",298,4,0,0,0,"1,270",384,163,32,19,57,11,604,252,205,0,0,47,"35,629","2,946","1,082",141,159,157,,"75,452","12,582","26,391",911,"1,657",374,"36,778",,"75,452","52,397","6,194","10,468",245,"35,490","23,055","1,371","19,470",101,"1,173",19,312,609,45,564,"27,387",,"37,511","16,827","20,684"
    Percent,,"75,452",45.60%,54.40%,(X),6.90%,8.10%,8.70%,7.80%,7.30%,16.80%,13.50%,12.20%,5.90%,4.20%,5.50%,2.20%,1.00%,(X),28.60%,74.60%,71.40%,67.00%,10.90%,8.70%,"53,851",45.40%,54.60%,(X),"6,540",36.50%,63.50%,(X),,"75,452",96.10%,3.90%,96.10%,13.80%,32.60%,0.40%,0.00%,0.00%,0.00%,0.00%,1.70%,0.50%,0.20%,0.00%,0.00%,0.10%,0.00%,0.80%,0.30%,0.30%,0.00%,0.00%,0.10%,47.20%,3.90%,1.40%,0.20%,0.20%,0.20%,,"75,452",16.70%,35.00%,1.20%,2.20%,0.50%,48.70%,,"75,452",69.40%,8.20%,13.90%,0.30%,47.00%,30.60%,1.80%,25.80%,0.10%,1.60%,0.00%,0.40%,0.80%,0.10%,0.70%,(X),,"37,511",44.90%,55.10%
ZCTA5 10453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,,"81,716","37,628","44,088",85.3,"6,527","6,912","5,647","6,147","6,841","13,502","9,691","11,455","4,576","3,572","4,588","1,768",490,31,"22,678","61,373","59,038","55,082","9,042","6,846","59,038","26,655","32,383",82.3,"6,846","2,659","4,187",63.5,,"81,716","78,919","2,797","78,919","7,797","27,461",458,0,0,0,0,"1,214",433,30,128,22,48,147,406,0,0,0,0,0,"41,989","2,797",926,23,267,202,,"81,716","9,578","29,228",931,"1,616",128,"43,236",,"81,716","56,517","3,067","11,122",427,"41,901","25,199","1,211","21,644",26,"1,213",0,470,635,70,565,"28,749",,"41,667","18,318","23,349"
    Percent,,"81,716",46.00%,54.00%,(X),8.00%,8.50%,6.90%,7.50%,8.40%,16.50%,11.90%,14.00%,5.60%,4.40%,5.60%,2.20%,0.60%,(X),27.80%,75.10%,72.20%,67.40%,11.10%,8.40%,"59,038",45.10%,54.90%,(X),"6,846",38.80%,61.20%,(X),,"81,716",96.60%,3.40%,96.60%,9.50%,33.60%,0.60%,0.00%,0.00%,0.00%,0.00%,1.50%,0.50%,0.00%,0.20%,0.00%,0.10%,0.20%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,51.40%,3.40%,1.10%,0.00%,0.30%,0.20%,,"81,716",11.70%,35.80%,1.10%,2.00%,0.20%,52.90%,,"81,716",69.20%,3.80%,13.60%,0.50%,51.30%,30.80%,1.50%,26.50%,0.00%,1.50%,0.00%,0.60%,0.80%,0.10%,0.70%,(X),,"41,667",44.00%,56.00%
ZCTA5 10454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
