Label (Grouping),Total
ZCTA5 10451,
    Estimate,"48,136"
ZCTA5 10452,
    Estimate,"75,452"
ZCTA5 10453,
    Estimate,"81,716"
ZCTA5 10454,
    Estimate,"37,212"
ZCTA5 10455,
    Estimate,"41,951"
ZCTA5 10456,
    Estimate,"92,717"
ZCTA5 10457,
    Estimate,"74,822"
ZCTA5 10458,
    Estimate,"85,620"
ZCTA5 10459,
    Estimate,"48,780"
ZCTA5 10460,
    Estimate,"59,432"
ZCTA5 10461,
    Estimate,"49,690"
ZCTA5 10462,
    Estimate,"75,714"
ZCTA5 10463,
    Estimate,"71,132"
ZCTA5 10464,
    Estimate,"4,531"
ZCTA5 10465,
    Estimate,"43,671"
ZCTA5 10466,
    Estimate,"75,039"
ZCTA5 10467,
    Estimate,"101,255"
ZCTA5 10468,
    Estimate,"78,881"
ZCTA5 10469,
    Estimate,"72,384"
ZCTA5 10470,
    Estimate,"15,716"
ZCTA5 10471,
    Estimate,"22,422"
ZCTA5 10472,
    Estimate,"67,948"
ZCTA5 10473,
    Estimate,"59,579"
ZCTA5 10474,
    Estimate,"12,179"
ZCTA5 10475,
    Estimate,"42,818"
