Labels,Vacant Units
ZCTA5 10451,
    Estimate,684
ZCTA5 10452,
    Estimate,950
ZCTA5 10453,
    Estimate,975
ZCTA5 10454,
    Estimate,712
ZCTA5 10455,
    Estimate,695
ZCTA5 10456,
    Estimate,"1,551"
ZCTA5 10457,
    Estimate,"1,188"
ZCTA5 10458,
    Estimate,"1,855"
ZCTA5 10459,
    Estimate,"1,348"
ZCTA5 10460,
    Estimate,"1,046"
ZCTA5 10461,
    Estimate,"1,295"
ZCTA5 10462,
    Estimate,"1,564"
ZCTA5 10463,
    Estimate,"1,269"
ZCTA5 10464,
    Estimate,244
ZCTA5 10465,
    Estimate,883
ZCTA5 10466,
    Estimate,"1,156"
ZCTA5 10467,
    Estimate,"1,790"
ZCTA5 10468,
    Estimate,"1,272"
ZCTA5 10469,
    Estimate,"1,270"
ZCTA5 10470,
    Estimate,297
ZCTA5 10471,
    Estimate,794
ZCTA5 10472,
    Estimate,"1,645"
ZCTA5 10473,
    Estimate,946
ZCTA5 10474,
    Estimate,468
ZCTA5 10475,
    Estimate,239
